brand,type,count,newbrand,newbrand2,newbrand3
Coolpad,Coolpad S6-NT1,8,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad SK1-01,20,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad T2-00,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad T2-W01,137,Coolpad,COOLPAD,COOLPAD
Coolpad T2-W01,Coolpad T2-W01.CoolpadT2-W01.CoolpadT2-W01,5,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad V1-C,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad V1-T,3,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y60-W,5,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y75,83,Coolpad,COOLPAD,COOLPAD
Coolpad Y75,Coolpad Y75.CoolpadY75.CoolpadY75,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y76,95,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y82-820,48,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y82-900,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad Y90,32,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 7295,46,Coolpad,COOLPAD,COOLPAD
Coolpad7295,Coolpad 7295.yulong89_cu_jb.yulong89_cu_jb,2,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8085Q,6,Coolpad,COOLPAD,COOLPAD
Coolpad8085Q,Coolpad 8085Q.Coolpad8085Q.Coolpad8085Q,1,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8198T,4,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8295M,2,Coolpad,COOLPAD,COOLPAD
Huawei,Coolpad 8297,1,huawei,HUAWEI,HUAWEI
Coolpad,Coolpad 8720Q,6,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8750,7,Coolpad,COOLPAD,COOLPAD
Coolpad,Coolpad 8908,1,Coolpad,COOLPAD,COOLPAD
Android,Coship F1,3,Android,ANDROID,其他
Coship F1,Coship F1.capristone_big_A02.capristone_big_A02,1,Coship F1,COSHIP F1,其他
COSHIP,COSHIP F2,2,COSHIP,COSHIP,其他
alps,COWW C907,1,alps,ALPS,ALPS
skyhon,CYM1,1,SKYHON,SKYHON,其他
XiAMi,D1,1,XiAMi,XIAMI,其他
Sony,D2203,1,Sony,SONY,SONY
Sony,D2303,2,Sony,SONY,SONY
Sony,D2306,1,Sony,SONY,SONY
D2533,D2533.D2533.D2533,1,D2533,SONY,SONY
Sony,D5103,1,Sony,SONY,SONY
Sony,D5503,2,Sony,SONY,SONY
KONKA,D557,2,KONKA,KONKA,其他
Sony,D5833,2,Sony,SONY,SONY
Sony,D6503,19,Sony,SONY,SONY
Sony,D6563,2,Sony,SONY,SONY
Sony,D6603,2,Sony,SONY,SONY
Sony,D6633,2,Sony,SONY,SONY
Sony,D6653,9,Sony,SONY,SONY
D6653,D6653.D6653.D6653,1,D6653,SONY,SONY
verizon,D6708,1,Verizon,VERIZON,VERIZON
TCL,D820X,2,TCL,TCL,TCL
东山科技,D960,1,东山科技,东山科技,其他
DAKELE,DAKELE MC001,1,dakele,DAKELE,其他
DAQ,DAQ Q2,2,DAQ,DAQ,其他
DAQ,DAQ Q5321,1,DAQ,DAQ,其他
DATANG,DATANG T98,1,DATANG,DATANG,其他
dazen,dazen X7,36,dazen,DAZEN,DAZEN
alps,DESAY X5,1,alps,ALPS,ALPS
DKL01,DKL01,1,DKL01,DKL01,其他
DOOV,DOOV C1,1,DOOV,DOOV,DOOV
DOOV,DOOV C9,5,DOOV,DOOV,DOOV
DOOV,DOOV D330,12,DOOV,DOOV,DOOV
DOOV D330,DOOV D330.DOOV D330.D330,1,DOOV,DOOV,DOOV
DOOV,DOOV D8,1,DOOV,DOOV,DOOV
DOOV,DOOV D800,5,DOOV,DOOV,DOOV
DOOV,DOOV L1,17,DOOV,DOOV,DOOV
DOOV L1,DOOV L1.DOOV L1.L1,1,DOOV,DOOV,DOOV
DOOV,DOOV L1M,18,DOOV,DOOV,DOOV
DOOV,DOOV L3,34,DOOV,DOOV,DOOV
DOOV,DOOV L3C,15,DOOV,DOOV,DOOV
DOOV+L3C,DOOV L3C.DOOV_L3C.CTCC_Phone,1,DOOV,DOOV,DOOV
DOOV,DOOV S1,3,DOOV,DOOV,DOOV
DOOV,DOOV S2,1,DOOV,DOOV,DOOV
DOOV,DOOV S2x,2,DOOV,DOOV,DOOV
DOOV,DOOV S2y,6,DOOV,DOOV,DOOV
DOOV,DOOV S3,9,DOOV,DOOV,DOOV
DOOV,DOOV T20,11,DOOV,DOOV,DOOV
DOOV,DOOV T20L,29,DOOV,DOOV,DOOV
DOOV T20L,DOOV T20L.Doov T20L.T20L,2,DOOV,DOOV,DOOV
DOOV,DOOV T35,2,DOOV,DOOV,DOOV
DOOV,DOOV T35L,2,DOOV,DOOV,DOOV
DOOV,DOOV T60,6,DOOV,DOOV,DOOV
DOOV,DOOV T90,1,DOOV,DOOV,DOOV
DOOV,DOOV V1,3,DOOV,DOOV,DOOV
DOOV,DOOV_D2,1,DOOV,DOOV,DOOV
DOOV,DOOV_D910T,1,DOOV,DOOV,DOOV
DOOV,DOOV_S2,1,DOOV,DOOV,DOOV
motorola,DROID RAZR HD,1,motorola,MOTO,其他
DS530M,DS530M,1,DS530M,DS530M,其他
DaXian,DX9168,1,DaXian,DAXIAN,其他
来米,DXA001,1,来米,来米,其他
DUZHE_DZ800,DZ800,1,DUZHE_DZ800,DUZHE_DZ800,其他
QINGHUATONGFANG,E150,1,QINGHUATONGFANG,QINGHUATONGFANG,其他
GiONEE,E3,8,GiONEE,GIONEE,GIONEE
E3,E3.GiONEE.GiONEE,1,E3,E3,其他
GiONEE,E3T,8,GiONEE,GIONEE,GIONEE
GiONEE,E5,2,GiONEE,GIONEE,GIONEE
GiONEE,E6,12,GiONEE,GIONEE,GIONEE
E6,E6.GiONEE.GiONEE,2,E6,E6,其他
Hisense,E601M,2,Hisense,HISENSE,HISENSE
Pioneer,E60w,1,Pioneer,PIONEER,PIONEER
feixun,E653Lw,17,feixun,FEIXUN,FEIXUN
feixun,E670Lw,2,feixun,FEIXUN,FEIXUN
E689-A,E689-A,1,E689-A,E689-A,其他
GiONEE,E6mini,3,GiONEE,GIONEE,GIONEE
GiONEE,E6T,3,GiONEE,GIONEE,GIONEE
E6T,E6T.GiONEE.GiONEE,1,E6T,E6T,其他
GiONEE,E7,10,GiONEE,GIONEE,GIONEE
E7,E7.GiONEE.GiONEE,1,E7,E7,其他
Pioneer,E81t,1,Pioneer,PIONEER,PIONEER
Pioneer,E82L,2,Pioneer,PIONEER,PIONEER
Android,E8-X7,1,Android,ANDROID,其他
GL,E9003-MEI4,1,GL,GL,其他
Pioneer,E91w,2,Pioneer,PIONEER,PIONEER
ErenEben,EBEN A2,1,ErenEben,ERENEBEN,其他
ErenEben,EBEN K8S,3,ErenEben,ERENEBEN,其他
ErenEben,EBEN M1,1,ErenEben,ERENEBEN,其他
8848,EBEN M2,7,8848,COOLPAD?,其他
EBEN M2,EBEN M2.msm8974.msm8974,1,EBEN M2,EBEN M2,其他
EBEN T6,EBEN T6.msm8660_t6.T6,1,EBEN T6,EBEN T6,其他
ErenEben,EBEN T7,3,ErenEben,ERENEBEN,其他
EBEN T7,EBEN T7,1,EBEN T7,EBEN T7,其他
ErenEben,EBEN T8,2,ErenEben,ERENEBEN,其他
ErenEben,EBEN T9,5,ErenEben,ERENEBEN,其他
alps,EBEST S10,2,alps,ALPS,ALPS
EBEST,EBEST Z5T,1,EBEST,EBEST,其他
Android,EOOM,1,Android,ANDROID,其他
epade,epade_S90,1,epade,EPADE,其他
alps,eSZS S109 MI Z,1,alps,ALPS,ALPS
ETON,ETON I12,1,ETON,ETON,ETON
ETON,ETON I7,1,ETON,ETON,ETON
ETON,ETON P1,1,ETON,ETON,ETON
ETON,ETON P3,3,ETON,ETON,ETON
ETON,ETON T890,1,ETON,ETON,ETON
DOCOMO,F-01F,3,DOCOMO,DOCOMO,其他
BIRD,F3,4,BIRD,BIRD,BIRD
GiONEE,F301,46,GiONEE,GIONEE,GIONEE
F301,F301.GiONEE.GiONEE,4,F301,F301,其他
BenQ,F5,1,BenQ,BENQ,其他
Hisense,F5180,5,Hisense,HISENSE,HISENSE
F5180,F5180.f5180.f5180,1,F5180,F5180,其他
F5D,F5D,1,F5D,F5D,其他
NOMI,F7,1,NOMI,NOMI,其他
JTY,F960,1,JTY,JTY,其他
OPPO,Find 5,1,OPPO,OPPO,OPPO
FNNI_P8A,FNNI_P8A,1,FNNI_P8A,FNNI_P8A,其他
GREE,G0111,3,GREE,GREE,其他
G0111,G0111.Q5007.Q5007,1,G0111,G0111,其他
GREE,G01111,12,GREE,GREE,其他
OUKI,G10-A,1,OUKI,OUKI,其他
MIGOU,G15,2,MIGOU,MIGOU,其他
GO,G2,1,GO,GO,其他
DQ,G26,1,DQ,DQ,其他
Rhein,G3,1,Rhein,RHEIN,其他
4G,G4,1,4G,4G,4G
Huawei,G610-T11,1,huawei,HUAWEI,HUAWEI
Huawei,G610-U00,8,huawei,HUAWEI,HUAWEI
Huawei,G620-L75,33,huawei,HUAWEI,HUAWEI
G620-L75,G620-L75.hwG620-L75.G620-L75,3,huawei,HUAWEI,HUAWEI
Huawei,G620S-UL00,242,huawei,HUAWEI,HUAWEI
G620S-UL00,G620S-UL00,3,huawei,HUAWEI,HUAWEI
G620S-UL00,G620S-UL00.hwG620S-UL00.G620S-UL00,17,huawei,HUAWEI,HUAWEI
Honor,G621-TL00,128,huawei,HUAWEI,HUAWEI
G621-TL00,G621-TL00.hwG621-TL00.G621-TL00,5,huawei,HUAWEI,HUAWEI
Honor,G621-TL00M,4,huawei,HUAWEI,HUAWEI
G621-TL00M,G621-TL00M.hwG621-TL00.G621-TL00M,2,huawei,HUAWEI,HUAWEI
Colorfly,G708 Oc,1,COLORFLY,COLORFLY,其他
Huawei,G7-L01,2,huawei,HUAWEI,HUAWEI
GELI,G80_F,4,GELI,GELI,其他
COLORFLY,G808 Oc,1,COLORFLY,COLORFLY,其他
Colorfly,G808_3G,1,COLORFLY,COLORFLY,其他
COLORFLY,G808_Oc,1,COLORFLY,COLORFLY,其他
G8802_TD,G8802 TD,1,G8802_TD,G8802_TD,其他
G9,G9,1,G9,G9,其他
GFIVE,G9,1,GFIVE,GFIVE,其他
google,Galaxy Nexus,7,google,GOOGLE,GOOGLE
samsung,Galaxy Nexus,1,samsung,SAMSUNG,SAMSUNG
Galaxy Nexus,Galaxy Nexus.maguro.yakju,1,samsung,SAMSUNG,SAMSUNG
samsung,Galaxy Note 3,1,samsung,SAMSUNG,SAMSUNG
samsung,Galaxy S5,1,samsung,SAMSUNG,SAMSUNG
SAMSUNG,GALAXY S6,1,samsung,SAMSUNG,SAMSUNG
qcom,Galaxy Series 8,5,qcom,QCOM,QCOM
Galaxy Series 8,Galaxy Series 8.msm8226.msm8226,1,samsung,SAMSUNG,SAMSUNG
r12,GEMRY,2,OPPO,OPPO,OPPO
alps,GIPO-T200-2G,1,alps,ALPS,ALPS
Huawei,GL07S,1,huawei,HUAWEI,HUAWEI
GiONEE,GN135,1,GiONEE,GIONEE,GIONEE
GiONEE,GN137,3,GiONEE,GIONEE,GIONEE
GN137,GN137.GiONEE.GiONEE,1,GN137,GIONEE,GIONEE
GiONEE,GN150,6,GiONEE,GIONEE,GIONEE
GiONEE,GN151,110,GiONEE,GIONEE,GIONEE
GN151,GN151.GiONEE.GN151,2,GN151,GIONEE,GIONEE
GiONEE,GN160,1,GiONEE,GIONEE,GIONEE
GiONEE,GN180,3,GiONEE,GIONEE,GIONEE
GiONEE,GN181,2,GiONEE,GIONEE,GIONEE
GiONEE,GN206,1,GiONEE,GIONEE,GIONEE
GiONEE,GN700T,1,GiONEE,GIONEE,GIONEE
GiONEE,GN705T,1,GiONEE,GIONEE,GIONEE
GiONEE,GN706L,4,GiONEE,GIONEE,GIONEE
GiONEE,GN708T,4,GiONEE,GIONEE,GIONEE
GiONEE,GN708W,6,GiONEE,GIONEE,GIONEE
GiONEE,GN709L,1,GiONEE,GIONEE,GIONEE
GiONEE,GN715,15,GiONEE,GIONEE,GIONEE
GIONEE,GN777,1,GiONEE,GIONEE,GIONEE
gionee,GN800,2,GiONEE,GIONEE,GIONEE
GiONEE,GN810,10,GiONEE,GIONEE,GIONEE
GiONEE,GN818T,2,GiONEE,GIONEE,GIONEE
GiONEE,GN858,1,GiONEE,GIONEE,GIONEE
GiONEE,GN868H,1,GiONEE,GIONEE,GIONEE
GiONEE,GN878,5,GiONEE,GIONEE,GIONEE
GiONEE,GN9000,43,GiONEE,GIONEE,GIONEE
GN9000,GN9000.GiONEE.GiONEE,1,GN9000,GIONEE,GIONEE
GiONEE,GN9000L,37,GiONEE,GIONEE,GIONEE
GN9000L,GN9000L.GiONEE.GiONEE,2,GN9000L,GIONEE,GIONEE
GiONEE,GN9001,6,GiONEE,GIONEE,GIONEE
GiONEE,GN9002,14,GiONEE,GIONEE,GIONEE
GiONEE,GN9004,4,GiONEE,GIONEE,GIONEE
GiONEE,GN9005,25,GiONEE,GIONEE,GIONEE
GO,GO N1-Y,3,GO,GO,其他
GO NX,GO NX.j688h.NX,1,GO NX,GO NX,其他
alps,GODONIE,1,alps,ALPS,ALPS
alps,GODOnie N9008,1,alps,ALPS,ALPS
GOLY,GOLY X5,1,GOLY,GOLY,其他
ZTE,Grand S Lite,1,ZTE,ZTE,ZTE
GT001,GT001.k825_324_at_ali30_lzr_gt001_jdm.k825_324_at_ali30_lzr_gt001_jdm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-B9120,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-B9388,10,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8160,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8190,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8190N,12,samsung,SAMSUNG,SAMSUNG
GT-I8190N,GT-I8190N.golden.goldennfczs,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8258,7,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8262,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8262D,42,samsung,SAMSUNG,SAMSUNG
GT-I8262D,GT-I8262D.aruba3gchn.aruba3gzc,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8268,49,samsung,SAMSUNG,SAMSUNG
GT-I8268,GT-I8268,1,samsung,SAMSUNG,SAMSUNG
Samsung,GT-I8268,1,samsung,SAMSUNG,SAMSUNG
GT-I8268,GT-I8268.aruba3gcmcc.aruba3gzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8530,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8552,191,samsung,SAMSUNG,SAMSUNG
GT-I8552,GT-I8552,2,samsung,SAMSUNG,SAMSUNG
GT-I8552,GT-I8552.delos3gchn.delos3gzc,13,samsung,SAMSUNG,SAMSUNG
GT-I8552,GT-I8552.i8552.i8552,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8558,13,samsung,SAMSUNG,SAMSUNG
GT-I8558,GT-I8558.delos3gcmcc.delos3gzm,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8580,13,samsung,SAMSUNG,SAMSUNG
GT-I8580,GT-I8580.cane3g.cane3gzn,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I8730,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9003,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9060,8,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9060I,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9082,95,samsung,SAMSUNG,SAMSUNG
GT-I9082,GT-I9082.baffin.baffinzn,9,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9082C,75,samsung,SAMSUNG,SAMSUNG
GT-I9082C,GT-I9082C.baffinlite.baffinlitezn,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9082i,140,samsung,SAMSUNG,SAMSUNG
GT-I9082i,GT-I9082i,5,samsung,SAMSUNG,SAMSUNG
GT-I9082i,GT-I9082i.baffin.baffinvezn,8,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9082L,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9100,14,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9100G,29,samsung,SAMSUNG,SAMSUNG
GT-I9100G,GT-I9100G.GT-I9100G.GT-I9100G,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9103,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9105P,11,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9118,17,samsung,SAMSUNG,SAMSUNG
GT-I9118,GT-I9118,1,samsung,SAMSUNG,SAMSUNG
GT-I9118,GT-I9118.baffinrd.baffinrdzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9128,22,samsung,SAMSUNG,SAMSUNG
GT-I9128,GT-I9128.baffincmcc.baffinzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9128E,21,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9128I,26,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9128V,19,samsung,SAMSUNG,SAMSUNG
GT-I9128V,GT-I9128V.baffincmcc.baffintdzc,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9152,231,samsung,SAMSUNG,SAMSUNG
GT-I9152,GT-I9152,1,samsung,SAMSUNG,SAMSUNG
GT-I9152,GT-I9152.crater.craterzc,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9152P,123,samsung,SAMSUNG,SAMSUNG
GT-I9152P,GT-I9152P,2,samsung,SAMSUNG,SAMSUNG
GT-I9152P,GT-I9152P.craterq3g.craterq3gzc,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9158,79,samsung,SAMSUNG,SAMSUNG
GT-I9158,GT-I9158,1,samsung,SAMSUNG,SAMSUNG
GT-I9158,GT-I9158.cratertd3g.cratertd3gzm,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9158P,45,samsung,SAMSUNG,SAMSUNG
GT-I9158P,GT-I9158P.craterq3g.craterq3gzm,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9158V,71,samsung,SAMSUNG,SAMSUNG
GT-I9158V,GT-I9158V.megapluslte.megaplusltezm,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9168,16,samsung,SAMSUNG,SAMSUNG
GT-I9168,GT-I9168,1,samsung,SAMSUNG,SAMSUNG
GT-I9168,GT-I9168.baffinq3g.baffinq3gzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9168I,38,samsung,SAMSUNG,SAMSUNG
GT-I9168I,GT-I9168I.baffinq3g.baffinq3gzc,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9190,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9192,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9195,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9195I,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9200,105,samsung,SAMSUNG,SAMSUNG
GT-I9200,GT-I9200,1,samsung,SAMSUNG,SAMSUNG
GT-I9200,GT-I9200.melius3g.melius3gxx,1,samsung,SAMSUNG,SAMSUNG
GT-I9200,GT-I9200.melius3g.melius3gzc,1,samsung,SAMSUNG,SAMSUNG
GT-I9200,GT-I9200.melius3g.melius3gzn,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9205,7,samsung,SAMSUNG,SAMSUNG
GT-I9205,GT-I9205.meliuslte.meliusltezh,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9208,23,samsung,SAMSUNG,SAMSUNG
GT-I9208,GT-I9208.melius3g.melius3gzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9220,22,samsung,SAMSUNG,SAMSUNG
GT-I9220,GT-I9220.GT-I9220.GT-I9220,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9228,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9230,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9235,57,samsung,SAMSUNG,SAMSUNG
GT-I9235,GT-I9235.ks02lte.ks02ltezh,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9260,26,samsung,SAMSUNG,SAMSUNG
GT-I9260,GT-I9260.superiorchn.superiorzc,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9268,13,samsung,SAMSUNG,SAMSUNG
GT-I9268,GT-I9268,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9300,217,samsung,SAMSUNG,SAMSUNG
Verizon,GT-I9300,3,Verizon,VERIZON,VERIZON
GT-I9300,GT-I9300,1,samsung,SAMSUNG,SAMSUNG
GT-I9300,GT-I9300.d2vzw.d2vzw,1,samsung,SAMSUNG,SAMSUNG
GT-I9300,GT-I9300.m0.m0xx,1,samsung,SAMSUNG,SAMSUNG
GT-I9300,GT-I9300.m0.m0zs,1,samsung,SAMSUNG,SAMSUNG
GT-I9300,GT-I9300.m0chn.m0zc,3,samsung,SAMSUNG,SAMSUNG
GT-I9300,GT-I9300.m0chn.m0zn,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9300I,216,samsung,SAMSUNG,SAMSUNG
GT-I9300I,GT-I9300I,4,samsung,SAMSUNG,SAMSUNG
GT-I9300I,GT-I9300I.s3ve3g.s3ve3gzc,11,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9301I,2,samsung,SAMSUNG,SAMSUNG
GT-I9301I,GT-I9301I,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9305,17,samsung,SAMSUNG,SAMSUNG
GT-I9305,GT-I9305,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9308,63,samsung,SAMSUNG,SAMSUNG
GT-I9308,GT-I9308,1,samsung,SAMSUNG,SAMSUNG
GT-I9308,GT-I9308.m0cmcc.m0zm,8,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9308I,20,samsung,SAMSUNG,SAMSUNG
GT-I9308I,GT-I9308I.s3ve3g.s3ve3gzm,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9500,394,samsung,SAMSUNG,SAMSUNG
GT-I9500,GT-I9500,3,samsung,SAMSUNG,SAMSUNG
Verizon,GT-I9500,1,Verizon,VERIZON,VERIZON
GT-I9500,GT-I9500.ja3g.ja3gxx,1,samsung,SAMSUNG,SAMSUNG
GT-I9500,GT-I9500.ja3g.ja3gzc,11,samsung,SAMSUNG,SAMSUNG
GT-I9500,GT-I9500.ja3g.ja3gzn,7,samsung,SAMSUNG,SAMSUNG
GT-I9500,GT-I9500.ja3g.ja3gzs,4,samsung,SAMSUNG,SAMSUNG
GT-I9500,GT-I9500.jaltelgt.jaltezc,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9500-MIUI,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9502,120,samsung,SAMSUNG,SAMSUNG
GT-I9502,GT-I9502,2,samsung,SAMSUNG,SAMSUNG
GT-I9502,GT-I9502.ja3gchnduos.ja3gchnduoszn,10,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9505,34,samsung,SAMSUNG,SAMSUNG
GT-I9505,GT-I9505.jflte.jfltexx,1,samsung,SAMSUNG,SAMSUNG
GT-I9505,GT-I9505.jflte.jfltezh,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9506,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9507,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9507V,61,samsung,SAMSUNG,SAMSUNG
GT-I9507V,GT-I9507V.jftdd.jftddzn,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9508,55,samsung,SAMSUNG,SAMSUNG
GT-I9508,GT-I9508.jflte.jfltezm,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-I9508V,4,samsung,SAMSUNG,SAMSUNG
GT-I9508V,GT-I9508V.jsglte.jsgltezm,2,samsung,SAMSUNG,SAMSUNG
Lenovo,GT-I9600,1,lenovo,LENOVO,LENOVO
samsung,GT-N5100,153,samsung,SAMSUNG,SAMSUNG
GT-N5100,GT-N5100,3,samsung,SAMSUNG,SAMSUNG
GT-N5100,GT-N5100.kona3g.kona3gzc,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-N5120,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7000,16,samsung,SAMSUNG,SAMSUNG
Samsung,GT-N7000,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7100,1320,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100,21,samsung,SAMSUNG,SAMSUNG
Verizon,GT-N7100,3,Verizon,VERIZON,VERIZON
GT-N7100,GT-N7100.t03g.t03gub,1,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100.t03g.t03gxx,8,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100.t03g.t03gzs,20,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100.t03gchn.t03gzc,36,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100.t0lte.t0ltezh,1,samsung,SAMSUNG,SAMSUNG
GT-N7100,GT-N7100.t0lteskt.t0lteskt,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7100T,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7102,566,samsung,SAMSUNG,SAMSUNG
GT-N7102,GT-N7102,7,samsung,SAMSUNG,SAMSUNG
GT-N7102,GT-N7102.t03gchnduos.t03gduoszc,16,samsung,SAMSUNG,SAMSUNG
GT-N7102,GT-N7102.t03gchnduos.t03gduoszn,12,samsung,SAMSUNG,SAMSUNG
GT-N7102,GT-N7102.t03gcuduos.t03gduoszn,5,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7102i,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7105,75,samsung,SAMSUNG,SAMSUNG
GT-N7105,GT-N7105,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7105T,4,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7108,158,samsung,SAMSUNG,SAMSUNG
GT-N7108,GT-N7108,5,samsung,SAMSUNG,SAMSUNG
GT-N7108,GT-N7108.t03gcmcc.t03gzm,8,samsung,SAMSUNG,SAMSUNG
samsung,GT-N7108D,17,samsung,SAMSUNG,SAMSUNG
samsung,GT-N8000,40,samsung,SAMSUNG,SAMSUNG
samsung,GT-P1000,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-P3100,16,samsung,SAMSUNG,SAMSUNG
GT-P3100,GT-P3100.espressorf.espressorfzs,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-P5100,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-P5200,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-P5220,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-P6200,1,samsung,SAMSUNG,SAMSUNG
GT-P6200,GT-P6200.GT-P6200.GT-P6200,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-P6800,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-P7500,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-S5570,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-S5830,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-S5830i,7,samsung,SAMSUNG,SAMSUNG
samsung,GT-S5831i,3,samsung,SAMSUNG,SAMSUNG
samsung,GT-S5838,1,samsung,SAMSUNG,SAMSUNG
samsung,GT-S6102E,2,samsung,SAMSUNG,SAMSUNG
samsung,GT-S6352,4,samsung,SAMSUNG,SAMSUNG
